iter	Logloss
0	0.5360627207
1	0.4173152973
2	0.3248418302
3	0.2570787652
4	0.2014608066
5	0.1584464587
6	0.1273117972
7	0.1041149584
8	0.08569405008
9	0.07033794897
10	0.05832262859
11	0.04953860227
12	0.04210534984
13	0.03620103244
14	0.03152338172
15	0.02774834566
16	0.02505782598
17	0.0225526682
18	0.02046925998
19	0.01880851589
20	0.01743584914
21	0.01625674871
22	0.01523855322
23	0.01438937555
24	0.0138166776
25	0.01322931001
26	0.01273140555
27	0.01226173788
28	0.0118713465
29	0.01152113259
30	0.01123159952
31	0.0109570658
32	0.01072854316
33	0.01036179174
34	0.01001901972
35	0.00980953541
36	0.009529928121
37	0.0092842091
38	0.009205144086
39	0.009103935038
40	0.008932578943
41	0.008880075165
42	0.008784049767
43	0.008728340807
44	0.008572162658
45	0.008442167554
46	0.008368941161
47	0.008326057778
48	0.008219358677
49	0.00814653494
50	0.008114421558
51	0.008071712243
52	0.007982856207
53	0.007905168923
54	0.007870001465
55	0.007844880359
56	0.007800709358
57	0.007774871121
58	0.007744952016
59	0.007715685642
60	0.007683962345
61	0.007648165217
62	0.007608701072
63	0.007551685559
64	0.007507630757
65	0.007484941291
66	0.007461902533
67	0.007438695581
68	0.007418043965
69	0.007378748173
70	0.0073617613
71	0.007328847771
72	0.007314369157
73	0.007299652354
74	0.007282078886
75	0.007259197449
76	0.007244868461
77	0.007228910943
78	0.00719028941
79	0.007176013136
80	0.007156672165
81	0.007145606547
82	0.007122252751
83	0.007109416948
84	0.007088259302
85	0.007052531129
86	0.007029458623
87	0.007015095412
88	0.006992428536
89	0.006980152507
90	0.006958525604
91	0.006936780333
92	0.006908112998
93	0.006893160513
94	0.006871636696
95	0.006860779641
96	0.006840806752
97	0.006819200676
98	0.00680627243
99	0.006797348451
